sampleId,geneSymbol,expressionLevel
USA011-107_Pre_Tumor,SNAI1,-4.236723
USA011-107_Pre_Tumor,CTNNB1,2.331764
USA011-107_Pre_Tumor,NOTCH2,1.993998
USA011-107_Pre_Tumor,NFKB2,1.187946
USA011-107_Pre_Tumor,IL33,-2.085446
USA011-107_Pre_Tumor,TREM2,1.159723
USA011-107_Pre_Tumor,CCL26,2.495985
USA011-107_Pre_Tumor,LAMC2,-2.98993
USA011-107_Pre_Tumor,AQP9,-0.054065
USA011-107_Pre_Tumor,NKp30(NCR3),1.417321
USA011-107_Pre_Tumor,PRKCA,-1.393705
USA011-107_Pre_Tumor,TSLP,-3.812845
USA011-107_Pre_Tumor,HLA-DOB,-1.84366
USA011-107_Pre_Tumor,ANGPTL4,-4.623423
USA011-107_Pre_Tumor,TNFRSF25,0.497362
USA011-107_Pre_Tumor,MS4A4A,1.586402
USA011-107_Pre_Tumor,CLEC5A,-1.719411
USA011-107_Pre_Tumor,ITGAM,1.00008
USA011-107_Pre_Tumor,MMP9,4.779387
USA011-107_Pre_Tumor,CD7,-3.709761
USA011-107_Pre_Tumor,VHL,-2.450225
USA011-107_Pre_Tumor,OLFML2B,-0.497825
USA011-107_Pre_Tumor,IL6,-2.306971
USA011-107_Pre_Tumor,TNFRSF1A,0.822087
USA011-107_Pre_Tumor,DKK1,-4.296028
USA011-107_Pre_Tumor,FANCA,-2.762874
USA011-107_Pre_Tumor,TNF,-0.642292
USA011-107_Pre_Tumor,LTB,1.085282
USA011-107_Pre_Tumor,PPARGC1B,-1.421567
USA011-107_Pre_Tumor,RPS6KB1,-1.019651
USA011-107_Pre_Tumor,CD38,-0.939965
USA011-107_Pre_Tumor,DTX3L,0.922266
USA011-107_Pre_Tumor,TMEM173,-0.272864
USA011-107_Pre_Tumor,TYK2,5.592166
USA011-107_Pre_Tumor,NEIL1,-2.635667
USA011-107_Pre_Tumor,HELLS,-0.462599
USA011-107_Pre_Tumor,TGFBR1,0.301611
USA011-107_Pre_Tumor,MB21D1,-0.481117
USA011-107_Pre_Tumor,CCR2,-1.664951
USA011-107_Pre_Tumor,MSH2,-1.156321
USA011-107_Pre_Tumor,RAD51,-2.30886
USA011-107_Pre_Tumor,TNFRSF18,-1.848184
USA011-107_Pre_Tumor,FCGR3A/B,-0.131094
USA011-107_Pre_Tumor,STAT1,2.743574
USA011-107_Pre_Tumor,CTSS,4.276456
USA011-107_Pre_Tumor,PDK1,-1.147775
USA011-107_Pre_Tumor,ITGAV,0.8462
USA011-107_Pre_Tumor,ANGPT1,-4.670637
USA011-107_Pre_Tumor,BCL6B,-3.109337
USA011-107_Pre_Tumor,CDH2,-4.579468
USA011-107_Pre_Tumor,CSF3R,-0.56236
USA011-107_Pre_Tumor,RELB,0.751972
USA011-107_Pre_Tumor,HLA-G,7.291293
USA011-107_Pre_Tumor,CXCL16,1.21035
USA011-107_Pre_Tumor,IL6R,0.545068
USA011-107_Pre_Tumor,PDGFA,-3.34705
USA011-107_Pre_Tumor,PIK3R1,0.433914
USA011-107_Pre_Tumor,HK1,0.241063
USA011-107_Pre_Tumor,AXL,-2.939514
USA011-107_Pre_Tumor,HK2,-0.198325
USA011-107_Pre_Tumor,PDGFRB,-0.077949
USA011-107_Pre_Tumor,SMAD3,3.985516
USA011-107_Pre_Tumor,FADD,-0.912626
USA011-107_Pre_Tumor,CD74,7.736393
USA011-107_Pre_Tumor,RIPK2,-0.769449
USA011-107_Pre_Tumor,CD45RB,0.115564
USA011-107_Pre_Tumor,BAD,-1.352328
USA011-107_Pre_Tumor,PKM,4.405414
USA011-107_Pre_Tumor,KLRB1,-4.670081
USA011-107_Pre_Tumor,ADORA2A,-2.259802
USA011-107_Pre_Tumor,IFIT1,-2.275246
USA011-107_Pre_Tumor,UBE2T,-2.372923
USA011-107_Pre_Tumor,RPL23,4.942496
USA011-107_Pre_Tumor,ARG2,-2.581384
USA011-107_Pre_Tumor,TGFBR2,1.09075
USA011-107_Pre_Tumor,CRABP2,-0.68986
USA011-107_Pre_Tumor,BLK,-2.894395
USA011-107_Pre_Tumor,CCL14,-1.017765
USA011-107_Pre_Tumor,CCNB1,-0.759925
USA011-107_Pre_Tumor,STAT2,1.336252
USA011-107_Pre_Tumor,IKBKB,-0.616843
USA011-107_Pre_Tumor,ZEB2,1.958689
USA011-107_Pre_Tumor,XIAP,5.850351
USA011-107_Pre_Tumor,LRRC32,-2.598112
USA011-107_Pre_Tumor,IL22RA1,-4.847653
USA011-107_Pre_Tumor,ELOB,-2.642055
USA011-107_Pre_Tumor,ITGA1,-2.04656
USA011-107_Pre_Tumor,IL24,-5.684225
USA011-107_Pre_Tumor,PVRIG,-2.748098
USA011-107_Pre_Tumor,RB1,-0.619461
USA011-107_Pre_Tumor,SRP54,-0.101965
USA011-107_Pre_Tumor,ICAM3,-0.327933
USA011-107_Pre_Tumor,CCR5,-1.188944
USA011-107_Pre_Tumor,CTLA4,-0.962196
USA011-107_Pre_Tumor,GLS,-1.579652
USA011-107_Pre_Tumor,GSK3B,5.082862
USA011-107_Pre_Tumor,ITGAE,-1.490864
USA011-107_Pre_Tumor,MET,-3.751973
USA011-107_Pre_Tumor,WNT3A,-4.355912
USA011-107_Pre_Tumor,TYMP,2.875118
USA011-107_Pre_Tumor,IFI16,3.000957
USA011-107_Pre_Tumor,PVR,-1.866927
USA011-107_Pre_Tumor,P4HA2,-0.610862
USA011-107_Pre_Tumor,BRIP1,-1.519199
USA011-107_Pre_Tumor,IL10RB,7.071364
USA011-107_Pre_Tumor,ESR1,-3.367425
USA011-107_Pre_Tumor,DAB2,0.58765
USA011-107_Pre_Tumor,DUSP1,1.544849
USA011-107_Pre_Tumor,CD8B,-2.040952
USA011-107_Pre_Tumor,ACVR1C,-5.699147
USA011-107_Pre_Tumor,IL15,-0.395028
USA011-107_Pre_Tumor,KIR3DL1,-5.510285
USA011-107_Pre_Tumor,CDH1,-3.542613
USA011-107_Pre_Tumor,HES1,-3.430483
USA011-107_Pre_Tumor,IHH,-5.045219
USA011-107_Pre_Tumor,CCL19,2.473958
USA011-107_Pre_Tumor,C2,-0.640611
USA011-107_Pre_Tumor,TLR7,-2.780859
USA011-107_Pre_Tumor,IL2RA,-1.468926
USA011-107_Pre_Tumor,PRKAA2,-4.817889
USA011-107_Pre_Tumor,COL11A2,-4.892269
USA011-107_Pre_Tumor,TNFRSF10D,-2.123968
USA011-107_Pre_Tumor,SIGLEC8,-5.623428
USA011-107_Pre_Tumor,PC,-1.949209
USA011-107_Pre_Tumor,IL17A,-6.155241
USA011-107_Pre_Tumor,GLI1,-5.04463
USA011-107_Pre_Tumor,GNG4,-4.529131
USA011-107_Pre_Tumor,LDHB,2.282909
USA011-107_Pre_Tumor,GATA3,5.513234
USA011-107_Pre_Tumor,DTX4,-3.311113
USA011-107_Pre_Tumor,CD3G,1.187063
USA011-107_Pre_Tumor,S100A8,2.229868
USA011-107_Pre_Tumor,ZC3H12A,-2.866567
USA011-107_Pre_Tumor,IER3,-2.0558
USA011-107_Pre_Tumor,CD4,2.424474
USA011-107_Pre_Tumor,S100A12,-4.084979
USA011-107_Pre_Tumor,CD6,-2.08881
USA011-107_Pre_Tumor,CD163,1.522778
USA011-107_Pre_Tumor,DUSP2,-0.704376
USA011-107_Pre_Tumor,HERC6,-2.266675
USA011-107_Pre_Tumor,MRC1,2.720106
USA011-107_Pre_Tumor,DLL4,-4.652439
USA011-107_Pre_Tumor,SAMSN1,1.415214
USA011-107_Pre_Tumor,CD28,-0.382917
USA011-107_Pre_Tumor,TAP2,0.399397
USA011-107_Pre_Tumor,ICOS,-3.062124
USA011-107_Pre_Tumor,TNFSF12,0.525477
USA011-107_Pre_Tumor,IFITM2,1.738801
USA011-107_Pre_Tumor,DNMT1,0.146529
USA011-107_Pre_Tumor,TNFSF8,-2.396015
USA011-107_Pre_Tumor,TGFB2,-4.776822
USA011-107_Pre_Tumor,TMEM140,-0.965636
USA011-107_Pre_Tumor,COL11A1,-3.794117
USA011-107_Pre_Tumor,GIMAP6,-0.345161
USA011-107_Pre_Tumor,IRF4,0.139341
USA011-107_Pre_Tumor,BNIP3,-2.254057
USA011-107_Pre_Tumor,FPR3,1.011017
USA011-107_Pre_Tumor,HLA-C,3.528913
USA011-107_Pre_Tumor,VEGFC,-1.602117
USA011-107_Pre_Tumor,SIGLEC1,-0.744892
USA011-107_Pre_Tumor,BID,-0.886772
USA011-107_Pre_Tumor,MAPK10,-4.787395
USA011-107_Pre_Tumor,FCN1,1.484956
USA011-107_Pre_Tumor,H2AFX,-1.259029
USA011-107_Pre_Tumor,CBLC,-4.026634
USA011-107_Pre_Tumor,CASP3,0.11021
USA011-107_Pre_Tumor,CD226,5.154027
USA011-107_Pre_Tumor,PIAS4,-1.417248
USA011-107_Pre_Tumor,HLA-DRA,6.439851
USA011-107_Pre_Tumor,ULBP2,-4.64853
USA011-107_Pre_Tumor,CASP1,0.488824
USA011-107_Pre_Tumor,MS4A2,-3.671302
USA011-107_Pre_Tumor,HSD11B1,0.793848
USA011-107_Pre_Tumor,GAS1,-2.126313
USA011-107_Pre_Tumor,FUT4,-1.391461
USA011-107_Pre_Tumor,CSF1,-0.153646
USA011-107_Pre_Tumor,FAM30A,-3.239522
USA011-107_Pre_Tumor,ITPK1,-0.254653
USA011-107_Pre_Tumor,BCAT1,0.451961
USA011-107_Pre_Tumor,CD80,-1.601739
USA011-107_Pre_Tumor,C1QB,3.660284
USA011-107_Pre_Tumor,RELN,-3.852099
USA011-107_Pre_Tumor,ICAM5,-5.021511
USA011-107_Pre_Tumor,MAML2,-1.130214
USA011-107_Pre_Tumor,OLR1,-2.157784
USA011-107_Pre_Tumor,NFKBIE,0.34257
USA011-107_Pre_Tumor,WNT11,-3.783152
USA011-107_Pre_Tumor,LILRA3,-3.701127
USA011-107_Pre_Tumor,TNFSF13B,-2.532152
USA011-107_Pre_Tumor,AIRE,0.634499
USA011-107_Pre_Tumor,TDO2,-1.58756
USA011-107_Pre_Tumor,MAP3K5,-0.067786
USA011-107_Pre_Tumor,HLA-F,2.266819
USA011-107_Pre_Tumor,CD3E,0.130441
USA011-107_Pre_Tumor,RRM2,0.943576
USA011-107_Pre_Tumor,C7,-3.465866
USA011-107_Pre_Tumor,TNFRSF14,1.081362
USA011-107_Pre_Tumor,FCGRT,1.852503
USA011-107_Pre_Tumor,WNT2,-3.611138
USA011-107_Pre_Tumor,MICB,-0.463041
USA011-107_Pre_Tumor,HMGA1,0.487578
USA011-107_Pre_Tumor,IL21R,-1.27611
USA011-107_Pre_Tumor,CD300A,-1.108936
USA011-107_Pre_Tumor,TWIST1,-0.65757
USA011-107_Pre_Tumor,IL1RN,-3.837169
USA011-107_Pre_Tumor,CXCL1,-1.116658
USA011-107_Pre_Tumor,SFXN1,0.652364
USA011-107_Pre_Tumor,GNLY,3.099673
USA011-107_Pre_Tumor,ULBP5(RAET1G),1.138164
USA011-107_Pre_Tumor,NID2,-0.311831
USA011-107_Pre_Tumor,NECTIN1,-0.168023
USA011-107_Pre_Tumor,SERPINA1,2.903933
USA011-107_Pre_Tumor,NKG2C(KLRC2),2.175703
USA011-107_Pre_Tumor,PDGFB,-1.748628
USA011-107_Pre_Tumor,HLA-B,6.543144
USA011-107_Pre_Tumor,VCAM1,1.207
USA011-107_Pre_Tumor,HLA-DPB1,4.424592
USA011-107_Pre_Tumor,HLA-DOA,-0.596087
USA011-107_Pre_Tumor,GBP2,2.742874
USA011-107_Pre_Tumor,ATM,0.823811
USA011-107_Pre_Tumor,PSMB8,1.443299
USA011-107_Pre_Tumor,MLH1,-1.533426
USA011-107_Pre_Tumor,STAT6,5.519739
USA011-107_Pre_Tumor,PLA1A,-4.05676
USA011-107_Pre_Tumor,NT5E,-0.861412
USA011-107_Pre_Tumor,TOX,2.948573
USA011-107_Pre_Tumor,PALMD,-3.399435
USA011-107_Pre_Tumor,UBA7,0.151162
USA011-107_Pre_Tumor,PIK3CD,1.084522
USA011-107_Pre_Tumor,NOD2,-1.059056
USA011-107_Pre_Tumor,CEACAM3,-3.367878
USA011-107_Pre_Tumor,RIPK3,-2.011886
USA011-107_Pre_Tumor,IL1R2,-0.089183
USA011-107_Pre_Tumor,JAK1,0.616709
USA011-107_Pre_Tumor,LBP,0.434637
USA011-107_Pre_Tumor,ENO1,3.083812
USA011-107_Pre_Tumor,LILRA1,-2.046872
USA011-107_Pre_Tumor,BBS1,-2.091378
USA011-107_Pre_Tumor,MYD88,0.078729
USA011-107_Pre_Tumor,CXCR3,-2.68521
USA011-107_Pre_Tumor,CD1C,1.022327
USA011-107_Pre_Tumor,TLR9,-3.462253
USA011-107_Pre_Tumor,CCL7,-4.906093
USA011-107_Pre_Tumor,CPA3,-1.118381
USA011-107_Pre_Tumor,SH2D1A,0.340291
USA011-107_Pre_Tumor,CCR4,-0.951035
USA011-107_Pre_Tumor,HDAC4,-1.19335
USA011-107_Pre_Tumor,POLD1,-1.171323
USA011-107_Pre_Tumor,PTPN11,0.285866
USA011-107_Pre_Tumor,JAK2,0.511989
USA011-107_Pre_Tumor,WNT10A,-2.088742
USA011-107_Pre_Tumor,ITGB2,4.36359
USA011-107_Pre_Tumor,TYMS,1.14234
USA011-107_Pre_Tumor,KAT2B,0.809691
USA011-107_Pre_Tumor,ITGA6,-1.511198
USA011-107_Pre_Tumor,TBX21,-3.031063
USA011-107_Pre_Tumor,BRCA1,-2.113014
USA011-107_Pre_Tumor,COL17A1,-1.258626
USA011-107_Pre_Tumor,BIRC3,-2.08583
USA011-107_Pre_Tumor,KRAS,-0.283179
USA011-107_Pre_Tumor,IL11RA,-2.722593
USA011-107_Pre_Tumor,PI-9(SERPINB9),5.831007
USA011-107_Pre_Tumor,SIRPA,1.238804
USA011-107_Pre_Tumor,CEBPB,1.907904
USA011-107_Pre_Tumor,VTCN1,-2.431858
USA011-107_Pre_Tumor,SGK1,1.209893
USA011-107_Pre_Tumor,NLRC5,-0.115771
USA011-107_Pre_Tumor,CCL8,0.547842
USA011-107_Pre_Tumor,TRAF1,1.024872
USA011-107_Pre_Tumor,ADAM12,0.783921
USA011-107_Pre_Tumor,MMRN2,-2.228815
USA011-107_Pre_Tumor,PTGS2,-4.622503
USA011-107_Pre_Tumor,SMAD5,-1.429951
USA011-107_Pre_Tumor,CEACAM5,0.042775
USA011-107_Pre_Tumor,LCK,-0.442767
USA011-107_Pre_Tumor,ITGB3,-3.810547
USA011-107_Pre_Tumor,FCGR2B,-2.706598
USA011-107_Pre_Tumor,NRAS,1.104402
USA011-107_Pre_Tumor,IL34,-2.627067
USA011-107_Pre_Tumor,LAMA1,-4.954888
USA011-107_Pre_Tumor,CLEC4E,-3.676133
USA011-107_Pre_Tumor,IL18R1,-0.552254
USA011-107_Pre_Tumor,MFNG,0.122098
USA011-107_Pre_Tumor,TTC30A,-3.598427
USA011-107_Pre_Tumor,TNFRSF10C,-1.909985
